User ID,Property ID,Match Score
1,1,0.53
1,2,0.63
1,3,0.58
1,4,0.61
1,5,0.56
1,6,0.48
1,7,0.52
1,8,0.69
1,9,0.68
1,10,0.64
1,11,0.5
1,12,0.58
1,13,0.47
1,14,0.82
1,15,0.59
1,16,0.65
1,17,0.48
1,18,0.55
1,19,0.59
1,20,0.78
1,21,0.63
1,22,0.64
1,23,0.56
1,24,0.62
1,25,0.45
1,26,0.53
1,27,0.46
1,28,0.58
1,29,0.58
1,30,0.72
2,1,0.42
2,2,0.55
2,3,0.62
2,4,0.63
2,5,0.61
2,6,0.67
2,7,0.38
2,8,0.49
2,9,0.57
2,10,0.41
2,11,0.4
2,12,0.39
2,13,0.58
2,14,0.55
2,15,0.47
2,16,0.43
2,17,0.55
2,18,0.79
2,19,0.82
2,20,0.54
2,21,0.41
2,22,0.57
2,23,0.63
2,24,0.39
2,25,0.42
2,26,0.81
2,27,0.42
2,28,0.54
2,29,0.43
2,30,0.54
3,1,0.71
3,2,0.68
3,3,0.57
3,4,0.65
3,5,0.6
3,6,0.4
3,7,0.72
3,8,0.8
3,9,0.64
3,10,0.73
3,11,0.54
3,12,0.76
3,13,0.48
3,14,0.64
3,15,0.81
3,16,0.74
3,17,0.54
3,18,0.43
3,19,0.46
3,20,0.58
3,21,0.65
3,22,0.63
3,23,0.56
3,24,0.81
3,25,0.59
3,26,0.41
3,27,0.56
3,28,0.63
3,29,0.78
3,30,0.71
4,1,0.38
4,2,0.53
4,3,0.69
4,4,0.63
4,5,0.71
4,6,0.63
4,7,0.38
4,8,0.45
4,9,0.48
4,10,0.4
4,11,0.39
4,12,0.37
4,13,0.64
4,14,0.55
4,15,0.41
4,16,0.42
4,17,0.68
4,18,0.72
4,19,0.75
4,20,0.5
4,21,0.38
4,22,0.49
4,23,0.57
4,24,0.36
4,25,0.39
4,26,0.74
4,27,0.37
4,28,0.53
4,29,0.39
4,30,0.48
5,1,0.52
5,2,0.71
5,3,0.59
5,4,0.62
5,5,0.58
5,6,0.49
5,7,0.52
5,8,0.69
5,9,0.75
5,10,0.58
5,11,0.45
5,12,0.56
5,13,0.51
5,14,0.78
5,15,0.58
5,16,0.61
5,17,0.53
5,18,0.63
5,19,0.59
5,20,0.75
5,21,0.59
5,22,0.66
5,23,0.55
5,24,0.61
5,25,0.45
5,26,0.57
5,27,0.44
5,28,0.55
5,29,0.54
5,30,0.7
6,1,0.66
6,2,0.69
6,3,0.63
6,4,0.67
6,5,0.61
6,6,0.46
6,7,0.65
6,8,0.87
6,9,0.69
6,10,0.76
6,11,0.5
6,12,0.73
6,13,0.55
6,14,0.69
6,15,0.73
6,16,0.82
6,17,0.56
6,18,0.47
6,19,0.5
6,20,0.64
6,21,0.6
6,22,0.62
6,23,0.57
6,24,0.78
6,25,0.49
6,26,0.46
6,27,0.48
6,28,0.57
6,29,0.7
6,30,0.75
7,1,0.44
7,2,0.59
7,3,0.56
7,4,0.65
7,5,0.53
7,6,0.61
7,7,0.43
7,8,0.48
7,9,0.61
7,10,0.45
7,11,0.4
7,12,0.4
7,13,0.53
7,14,0.57
7,15,0.5
7,16,0.47
7,17,0.51
7,18,0.71
7,19,0.76
7,20,0.59
7,21,0.42
7,22,0.59
7,23,0.56
7,24,0.43
7,25,0.42
7,26,0.75
7,27,0.44
7,28,0.54
7,29,0.46
7,30,0.57
8,1,0.49
8,2,0.71
8,3,0.62
8,4,0.59
8,5,0.62
8,6,0.54
8,7,0.48
8,8,0.62
8,9,0.74
8,10,0.54
8,11,0.41
8,12,0.51
8,13,0.56
8,14,0.72
8,15,0.57
8,16,0.59
8,17,0.57
8,18,0.6
8,19,0.65
8,20,0.7
8,21,0.58
8,22,0.69
8,23,0.6
8,24,0.54
8,25,0.4
8,26,0.6
8,27,0.41
8,28,0.5
8,29,0.52
8,30,0.65
9,1,0.58
9,2,0.6
9,3,0.56
9,4,0.67
9,5,0.5
9,6,0.41
9,7,0.58
9,8,0.71
9,9,0.64
9,10,0.66
9,11,0.46
9,12,0.62
9,13,0.47
9,14,0.79
9,15,0.63
9,16,0.68
9,17,0.49
9,18,0.53
9,19,0.55
9,20,0.86
9,21,0.65
9,22,0.56
9,23,0.47
9,24,0.63
9,25,0.47
9,26,0.51
9,27,0.47
9,28,0.57
9,29,0.6
9,30,0.71
10,1,0.36
10,2,0.48
10,3,0.62
10,4,0.59
10,5,0.61
10,6,0.57
10,7,0.37
10,8,0.43
10,9,0.47
10,10,0.37
10,11,0.36
10,12,0.33
10,13,0.55
10,14,0.48
10,15,0.41
10,16,0.38
10,17,0.56
10,18,0.66
10,19,0.7
10,20,0.46
10,21,0.34
10,22,0.47
10,23,0.51
10,24,0.35
10,25,0.38
10,26,0.68
10,27,0.37
10,28,0.5
10,29,0.37
10,30,0.45
11,1,0.82
11,2,0.57
11,3,0.51
11,4,0.55
11,5,0.51
11,6,0.36
11,7,0.83
11,8,0.7
11,9,0.57
11,10,0.69
11,11,0.58
11,12,0.78
11,13,0.54
11,14,0.56
11,15,0.79
11,16,0.65
11,17,0.47
11,18,0.4
11,19,0.42
11,20,0.52
11,21,0.66
11,22,0.63
11,23,0.58
11,24,0.71
11,25,0.59
11,26,0.35
11,27,0.58
11,28,0.65
11,29,0.77
11,30,0.61
12,1,0.4
12,2,0.54
12,3,0.62
12,4,0.63
12,5,0.62
12,6,0.67
12,7,0.37
12,8,0.49
12,9,0.55
12,10,0.42
12,11,0.41
12,12,0.38
12,13,0.54
12,14,0.54
12,15,0.46
12,16,0.42
12,17,0.55
12,18,0.77
12,19,0.81
12,20,0.52
12,21,0.38
12,22,0.55
12,23,0.65
12,24,0.39
12,25,0.49
12,26,0.8
12,27,0.41
12,28,0.56
12,29,0.41
12,30,0.52
13,1,0.6
13,2,0.74
13,3,0.63
13,4,0.62
13,5,0.64
13,6,0.44
13,7,0.59
13,8,0.78
13,9,0.74
13,10,0.66
13,11,0.42
13,12,0.66
13,13,0.56
13,14,0.73
13,15,0.69
13,16,0.73
13,17,0.6
13,18,0.5
13,19,0.51
13,20,0.7
13,21,0.54
13,22,0.67
13,23,0.57
13,24,0.7
13,25,0.43
13,26,0.48
13,27,0.42
13,28,0.52
13,29,0.64
13,30,0.81
14,1,0.47
14,2,0.71
14,3,0.66
14,4,0.58
14,5,0.65
14,6,0.6
14,7,0.49
14,8,0.64
14,9,0.71
14,10,0.5
14,11,0.4
14,12,0.51
14,13,0.6
14,14,0.71
14,15,0.54
14,16,0.56
14,17,0.62
14,18,0.66
14,19,0.68
14,20,0.67
14,21,0.56
14,22,0.68
14,23,0.65
14,24,0.55
14,25,0.41
14,26,0.64
14,27,0.4
14,28,0.52
14,29,0.5
14,30,0.62
15,1,0.54
15,2,0.71
15,3,0.59
15,4,0.64
15,5,0.58
15,6,0.52
15,7,0.55
15,8,0.66
15,9,0.69
15,10,0.6
15,11,0.43
15,12,0.54
15,13,0.51
15,14,0.77
15,15,0.59
15,16,0.63
15,17,0.53
15,18,0.56
15,19,0.6
15,20,0.76
15,21,0.58
15,22,0.67
15,23,0.56
15,24,0.57
15,25,0.43
15,26,0.57
15,27,0.45
15,28,0.51
15,29,0.57
15,30,0.72
16,1,0.64
16,2,0.69
16,3,0.6
16,4,0.71
16,5,0.64
16,6,0.42
16,7,0.67
16,8,0.82
16,9,0.66
16,10,0.73
16,11,0.5
16,12,0.68
16,13,0.53
16,14,0.67
16,15,0.74
16,16,0.81
16,17,0.6
16,18,0.44
16,19,0.49
16,20,0.64
16,21,0.59
16,22,0.62
16,23,0.58
16,24,0.72
16,25,0.49
16,26,0.45
16,27,0.48
16,28,0.55
16,29,0.72
16,30,0.73
17,1,0.36
17,2,0.5
17,3,0.67
17,4,0.56
17,5,0.67
17,6,0.58
17,7,0.36
17,8,0.45
17,9,0.54
17,10,0.37
17,11,0.36
17,12,0.38
17,13,0.61
17,14,0.49
17,15,0.43
17,16,0.4
17,17,0.62
17,18,0.73
17,19,0.75
17,20,0.5
17,21,0.39
17,22,0.48
17,23,0.53
17,24,0.41
17,25,0.36
17,26,0.72
17,27,0.37
17,28,0.54
17,29,0.37
17,30,0.46
18,1,0.77
18,2,0.6
18,3,0.53
18,4,0.62
18,5,0.57
18,6,0.41
18,7,0.77
18,8,0.75
18,9,0.58
18,10,0.82
18,11,0.54
18,12,0.84
18,13,0.55
18,14,0.6
18,15,0.72
18,16,0.7
18,17,0.49
18,18,0.41
18,19,0.43
18,20,0.55
18,21,0.62
18,22,0.66
18,23,0.62
18,24,0.75
18,25,0.56
18,26,0.4
18,27,0.54
18,28,0.62
18,29,0.83
18,30,0.65
19,1,0.5
19,2,0.75
19,3,0.61
19,4,0.6
19,5,0.6
19,6,0.54
19,7,0.52
19,8,0.62
19,9,0.77
19,10,0.55
19,11,0.4
19,12,0.52
19,13,0.55
19,14,0.73
19,15,0.57
19,16,0.6
19,17,0.56
19,18,0.61
19,19,0.65
19,20,0.72
19,21,0.56
19,22,0.69
19,23,0.59
19,24,0.56
19,25,0.41
19,26,0.59
19,27,0.42
19,28,0.5
19,29,0.53
19,30,0.67
20,1,0.63
20,2,0.74
20,3,0.66
20,4,0.64
20,5,0.65
20,6,0.48
20,7,0.62
20,8,0.81
20,9,0.74
20,10,0.7
20,11,0.44
20,12,0.65
20,13,0.58
20,14,0.75
20,15,0.69
20,16,0.74
20,17,0.59
20,18,0.51
20,19,0.53
20,20,0.73
20,21,0.61
20,22,0.68
20,23,0.6
20,24,0.71
20,25,0.45
20,26,0.5
20,27,0.43
20,28,0.53
20,29,0.66
20,30,0.84
21,1,0.36
21,2,0.59
21,3,0.63
21,4,0.64
21,5,0.6
21,6,0.7
21,7,0.38
21,8,0.5
21,9,0.63
21,10,0.42
21,11,0.43
21,12,0.39
21,13,0.58
21,14,0.56
21,15,0.43
21,16,0.45
21,17,0.58
21,18,0.89
21,19,0.85
21,20,0.52
21,21,0.41
21,22,0.57
21,23,0.65
21,24,0.43
21,25,0.42
21,26,0.82
21,27,0.42
21,28,0.56
21,29,0.42
21,30,0.48
22,1,0.55
22,2,0.71
22,3,0.61
22,4,0.67
22,5,0.62
22,6,0.52
22,7,0.55
22,8,0.68
22,9,0.69
22,10,0.61
22,11,0.46
22,12,0.54
22,13,0.51
22,14,0.8
22,15,0.61
22,16,0.64
22,17,0.56
22,18,0.57
22,19,0.61
22,20,0.77
22,21,0.58
22,22,0.66
22,23,0.59
22,24,0.56
22,25,0.46
22,26,0.58
22,27,0.45
22,28,0.54
22,29,0.58
22,30,0.73
23,1,0.65
23,2,0.7
23,3,0.63
23,4,0.64
23,5,0.62
23,6,0.42
23,7,0.65
23,8,0.8
23,9,0.72
23,10,0.75
23,11,0.45
23,12,0.69
23,13,0.55
23,14,0.73
23,15,0.73
23,16,0.77
23,17,0.58
23,18,0.49
23,19,0.52
23,20,0.77
23,21,0.59
23,22,0.64
23,23,0.57
23,24,0.73
23,25,0.46
23,26,0.47
23,27,0.46
23,28,0.54
23,29,0.67
23,30,0.8
24,1,0.43
24,2,0.61
24,3,0.57
24,4,0.68
24,5,0.58
24,6,0.64
24,7,0.41
24,8,0.53
24,9,0.61
24,10,0.46
24,11,0.42
24,12,0.41
24,13,0.51
24,14,0.58
24,15,0.49
24,16,0.47
24,17,0.51
24,18,0.74
24,19,0.76
24,20,0.55
24,21,0.43
24,22,0.62
24,23,0.58
24,24,0.42
24,25,0.45
24,26,0.74
24,27,0.46
24,28,0.56
24,29,0.44
24,30,0.57
25,1,0.67
25,2,0.7
25,3,0.64
25,4,0.69
25,5,0.63
25,6,0.42
25,7,0.68
25,8,0.88
25,9,0.7
25,10,0.75
25,11,0.51
25,12,0.73
25,13,0.55
25,14,0.7
25,15,0.76
25,16,0.81
25,17,0.58
25,18,0.47
25,19,0.5
25,20,0.66
25,21,0.61
25,22,0.64
25,23,0.58
25,24,0.76
25,25,0.51
25,26,0.45
25,27,0.51
25,28,0.59
25,29,0.71
25,30,0.76
